Text	Complexity Score
What is the name of the painting stolen on March 19, 1990 for which a museum initially offered a $5 million reward for information leading towards its recovery?	0.33
What mid-fifties Canadian golf event on the PGA Tour was sponsored by the largest brewer in Canada?	0.23
What locations is the folklore which Huldra belongs to representative of?	0.12
What North Lincolnshire, England village contains the Humber Ferry?	0.09
What goalkeeper participated in a football game for the premiere of A Trip to Jamaica?	0.16
Skepticality has featured interviews with one of the cast members of the entertainment program created by whom?	0.23
The place where John Laub is an American criminologist and Distinguished University Professor in the Department of Criminology and Criminal Justice at was founded in what year?	0.28
"What town does the Mount Agamenticus region covers has the summer resort's name means ""beautiful place by the sea""?"	0.28
When was the King of Hungary and Croatia who transferred Schottenkirche to German-speaking Benedictine monks born?	0.28
What section of the canal that passes through Yealand Redmayne was never completed?	0.16
Where are the headquarters of the league the Denver Pioneers play in?	0.14
"""Bass Down Low"" is a single made by Dev as a follow up to a Far East Movements song from what album?"	0.21
Which has a greater population, Changchun or Huainan?	0.14
What American quarterback for the Vikings worked with Terry Shea?	0.12
Who acts as an analyst for a TV network for Kansas Jayhawks women's basketball team?	0.19
Are Waris Hussein and Mathieu Kassovitz both actors?	0.07
Which Disney Film was released first, Lt. Robin Crusoe, U.S.N. or The Apple Dumpling Gang?	0.16
How many hotel rooms are in the Las Vegas hotel which hosted the 38th Annual Daytime Emmy Awards in 2011?	0.26
Which English couriter was married to the daughter of Gilbert Talbot, 7th Earl of Shrewsbury?	0.16
Marilyn Buck participated in the prison escape of what Black Liberation Army member?	0.12
Moisés Solano helped fund his racing career by playing a sport that is a variation of what game?	0.26
What technology used to be how the school that Adelaide Miethke conducted classes?	0.19
The Kenwood Collection shopping center is located between Kentwood Towne Centre and a highway with a northern terminus in what city?	0.19
Which actress from The Andy Griffith Show was also part of the 1949 film Father Was a Fullback?	0.16
Jamie Bell stars a 2008 American science fiction action film that is loosely based a 1992 novel written by whom?	0.3
Hi Fly Malta is a subsidiary of a charter airline located in what city?	0.16
In what state are the headquarters of this American multinational automaker, which has a 50:50 joint venture with Changan Automobile?	0.23
"Which city that publishes the Marathi daily newspaper 'Loksatta' is titled ""The City of Gates""?"	0.23
How many times has the driver, who won the Nation's Cup with Petter Solberg, in the 2014 Race of Champions, won the 24 Hours of Le Mans?	0.33
Did the authors Isaac Asimov and Jean Giono write their fictions in a similar setting?	0.19
Who directed the black comedy film for which Jacques Mathou was best known?	0.21
Has Alek Keshishian been the writer for more films than Mark Krikorian?	0.12
What is Chinese name for the science fiction prequel to an American neo-noir science fiction film directed by Denis Villeneuve?	0.33
A Seattle Illustrator and editorial cartoonist, who was the first illustrator to show a public market that overlooks the Elliot Bay waterfront, was the son of what other cartoonist?	0.37
This British scholar who attended the oldest English-speaking university in the English speaking world was president of the British academy for what length of time?	0.37
Are Sorghastrum and Calocedrus both a genus of grass?	0.09
What number president was the most notable Congressman from Massachusetts Congressional District 11?	0.14
Which American actor has been featured in the movie Avengers: Infinity War and has been nominated for four Academy Awards?	0.19
What German national anthem was reinstalled after Ich hab' mich ergeben?	0.14
Batman: Knight Gallery was a comic book that featured art from the artist best known for work on what two other comics?	0.3
What project was finished at a later date, Panzer VII Lowe or Panzer VII Maus?	0.16
How many years of service must be performed to receive the ribbon created by the first United States Secretary of Defense?	0.28
Who was born first, Dickran Tevrizian or Christy Canyon?	0.12
Who is the grandmother to the famous poet from Joplin Missouri?	0.12
The 1932 Maccabiah Games were in commemoration of the 1800th anniversary of a revolt that historians also refer to as what?	0.26
Where is the brand and buying group which Filco foods has 8 stores and operates as part of located?	0.28
What arena built in 1987 do the Melbourne Vixens play home games at?	0.16
Between Ray Wilson and Nick Carter, who has released more solo albums?	0.19
What year was the Voivodeship, where Anna Maria Borowska was born, created?	0.12
Lee Min-ho stared in his first leading film role in 2015 in a film which was set in which part of Seoul?	0.3
The horse-collar tackle technique is most closely associated with a football player who played college football for what school?	0.33
Which 1961 book was written by one of the founders of the Creation Research Society?	0.14
How far from Sydney was Marie Cornish born at?	0.14
Do Bellevalia and Pear belong to the same family?	0.12
What genre of television are the shows Buried Treasure and Pawn stars?	0.14
Elvira Madigan's father was born in what year?	0.09
The Bee Gees were a music group that was formed in 1958. Where was their album released in?	0.14
"Who is the American bass guitarist known for his work in a virtual death metal band featured in ""Metalocalypse""?"	0.3
What is the name of the battle in the American Revolutionary War that François de Fleury served in during June of 1778?	0.21
Kim Coco Iwamoto appointed who as the seventh governor of Hawaii?	0.14
Are Ulrich Seidl and Amir Naderi both directors?	0.07
What position does Tobias Schweinsteiger's brother play for Chicago Fire?	0.14
Oumar Tchomogo who was born in Cotonou, where is this city located?	0.16
Are Thomas Keneally and Peter Straub both novelists?	0.07
What is the current home stadium for the California football team which formerly included John David Crow?	0.23
Cloud Nine featured the Irish band originally known by what name?	0.16
What country does Shayang County and Mengzhou have in common?	0.14
Who directed the 1973 Argentine romantic musical film starring the Argentine Elvis?	0.19
Where is the laboratory that houses The Tandem Van de Graaff located?	0.16
What site, popular among spring breakers, were also places were Jeopardy! Collect Championship contestant searches was held?	0.19
What significantly underreported activity does the band Hirsute Pursuit focus on thematically?	0.19
"What was the nationality of the person who said Leonard Jimmie Savage was ""one of the few people I have met whom I would unhesitatingly call a genius""?"	0.4
In which city is the J. I. Clements Stadium which is home of the Georgia Southern University Eagles baseball team?	0.19
Ohio native William Gladstone Steel helped create Crater Lake National Park, where the lake is most famous for what?	0.23
What nationality was the actress that stared in Madeleine, that was also Leans then wife?	0.21
Do both MODE and Women's Health focus on the issues faced by women?	0.16
What countries utilize the ECTS grading scale that Norway adopted?	0.19
The Marathon is a mixtape by a rapper whose recodings inlcude one called what in which which rapper Jay-Z, bought 100 copies for $100 each?	0.35
